Nº BO,Tipo Registro,Data,Hora,Tipo de BO,Natureza / Crime,Endereço,Município,UF,Nº Presos,Nº Apreensões s/ Prisão,Drogas TOTAL (kg),Cocaína/CH (kg),Pasta Base (kg),Maconha (kg),Crack (kg),Óxi (kg),Metanfetamina (kg),Ecstasy (comprimidos),Armas Apreend.,Munições Apreend.,Veículos Apreend.,Gasolina Boliviana (L),Diesel Boliviano (L),GLP (botijas),Cigarros (maços),Madeira Apreendida (m³),Desc. Celulares (un.),Desc. Roupas (un.),Mercadorias Descaminho (R$),Eletrônicos (un.),Embarcações (un.),Motor de Popa (un.),Ouro (g),Animais/Pescado (R$),Folha de Coca (kg),Dinheiro (R$),Meio,Ambiente,Destino dos Envolvidos,Latitude,Longitude,Descrição Resumida,Nacionalidade, Prejuízo Estimado (R$), Valor Estimado Descaminho (R$), Valor Estimado Veículos (R$), Multa (R$),Operação
3381200107,BO,03/07/2026,22:47:47,PA,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,MACHADINHO D'OESTE,RO,2,0,"0,0285","0,0076",0,"0,0209",0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,"R$ 0,00","RR$ ,000",0,0,0,"R$ 0,00","RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Via publica,,"-9,430295","-62,000523",,Brasileira," R$  7.289,50 ", R$  -   ," R$  6.615,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3261500107,BO/PA,03/07/2026,18:35:15,PA,"PORTE ILEGAL DE ARMA DE FOGO DE USO PERMITIDO (LEI 10.826/03, ART. 14) / PORTE ILEGAL DE MUNICAO",,CABIXI,RO,1,0,0,0,0,0,0,0,0,,1,3,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Zona rural,,"-13,374362","-60,393542",,Brasileira," R$  5.500,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3306000244,BO/PA,02/07/2026,22:47:57,PA,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / RESISTENCIA (ART. 329 CP)",,SAO MIGUEL DO GUAPORE,RO,1,0,166,0,0,166,0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Rodovia,,"-11,694298","-62,755119",,Brasileira," R$  851.000,00 ", R$  -   ," R$  21.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3352901122,BO/PA,02/07/2026,21:00:50,PA,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,PRESIDENTE MEDICI,RO,3,0,"1,097",0,0,"1,097",0,0,0,,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Rodovia,,"-11,1882431","-61,9015628",,Brasileira," R$  29.485,00 ", R$  -   ," R$  24.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3287900700,BO,02/07/2026,20:40:47,PA,"POSSE IRREGULAR DE ARMA DE FOGO DE USO PERMITIDO (LEI 10.826/03, ART. 12)",,MACHADINHO D'OESTE,RO,1,0,0,0,0,0,0,0,0,,1,19,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Zona rural,,"-9,434416","-61,95808",,Brasileira," R$  5.500,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas / Protetor da Fronteira e Divisas
3375000099,COP,02/07/2026,20:38:26,COP,POSSE/TRANSPORTE IRREGULAR DE MUNICAO (LEI 10.826/03) / ENCONTRO DE OBJETO,,NOVA MAMORE,RO,0,1,0,0,0,0,0,0,0,,0,5,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Rodovia,,"-10,401618","-65,327138",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3381200101,BO,02/07/2026,17:16:43,PA,CUMPRIMENTO DE MANDADO DE PRISAO,,VALE DO ANARI,RO,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Residencia,,"-9,8633558","-62,1720519",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3263301160,BO/PA,01/07/2026,20:11:49,Prisao/Apreensao,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33) / ORGANIZACAO CRIMINOSA (LEI 12.850/2013)",,PORTO VELHO,RO,2,0,"0,08","0,076",0,0,"0,004",0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ 224,5000",Terrestre,Residencia,,"-8,7577694","-63,8332045",,Brasileira," R$  5.964,50 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3283501401,BO/PA,01/07/2026,18:11:07,Prisao/Apreensao,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,PORTO VELHO,RO,1,0,"0,025",0,0,"0,025",0,0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ 59,000",Terrestre,Residencia,,"-8,7685536","-63,8470474",,Brasileira," R$  184,00 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3375300091,Apoio,01/07/2026,17:38:33,Apoio,APOIO AOS ORGAOS DE SEGURANCA PUBLICA (CP ART. 121 - HOMICIDIO),,PORTO VELHO,RO,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,"0,0000","0,0000",0,"R$ 0,00","RR$ ,000",0,0,0,"R$ 0,00","RR$ ,000","R$ 0,00","RR$ ,000",Fluvial,Area de mata,,"-9,601422","-65,41291",,Brasileira, R$  -   , R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
3381800050,TCO,01/07/2026,21:09:57,Termo Circunstanciado,"TRANSPORTE ILEGAL DE MADEIRA (LEI 9.605/98, ART. 46, PAR. UNICO)",,PORTO VELHO,RO,0,1,0,0,0,0,0,0,0,,0,0,1,0,0,0,"0,0000","40,0000",0,0,"RR$ ,000",0,0,0,0,"RR$ ,000","R$ 0,00","RR$ ,000",Terrestre,Rodovia,,"-9,7554698","-66,6090669",,Brasileira," R$  180.000,00 ", R$  -   ," R$  120.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3302500490,BO/PA,27/06/2026,14:48:28,Prisão/Apreensão,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33)",,Costa Marques,RO,1,0,"3,1145","0,0295",0,"3,085",0,0,0,0,0,0,1,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 24,00",Terrestre,"Rodovia (BR-429, posto)",,"-12,073001","-64,023983",,Brasileira," R$  41.661,50 ", R$  -   ," R$  24.000,00 ",,Brasil Contra o Crime Organizado Fronteira e Divisas
3297401784,BO/PA,27/06/2026,20:30:05,Prisão/Apreensão,"TRAFICO DE DROGAS (LEI 11.343/06, ART. 33, §1º I) / RESISTENCIA (CP ART. 329)",,Porto Velho,RO,1,0,"1,7627","0,21",0,"1,3427","0,21",0,0,111,0,0,0,0,0,0,"0,0000","0,0000",0,0,"R$ 0,00",0,0,0,0,"R$ 0,00","R$ 0,00","R$ 0,00",Terrestre,Residência,,"-8,738733","-63,897063",,Brasileira," R$  24.563,50 ", R$  -   , R$  -   ,,Brasil Contra o Crime Organizado Fronteira e Divisas
